S&P500,NASDAQ,Ibovespa,DAX30
3526.64990234375,11939.669921875,102168.0,12974.25
3580.840087890625,12056.4404296875,101911.0,13243.4296875
3455.06005859375,11458.099609375,100721.0,13057.76953125
3426.9599609375,11313.1298828125,101242.0,12842.66015625
3331.840087890625,10847.6904296875,100050.0,12968.330078125
3398.9599609375,11141.5595703125,101292.0,13237.2099609375
3339.18994140625,10919.58984375,98835.0,13208.8896484375
3340.969970703125,10853.5498046875,98363.0,13202.83984375
3383.5400390625,11056.650390625,100275.0,13193.66015625
3401.199951171875,11190.3203125,100298.0,13217.669921875
3385.489990234375,11050.4697265625,99676.0,13255.3701171875
3357.010009765625,10910.2802734375,100098.0,13208.1201171875
3319.469970703125,10793.2802734375,98290.0,13116.25
3281.06005859375,10778.7998046875,96991.0,12542.4404296875
3315.570068359375,10963.6396484375,97294.0,12594.3896484375
3236.919921875,10632.990234375,95735.0,12642.9697265625
3246.590087890625,10672.26953125,97012.0,12606.5703125
3298.4599609375,10913.5595703125,96999.0,12469.2001953125
3351.60009765625,11117.5302734375,94666.0,12870.8701171875
3335.469970703125,11085.25,93580.0,12825.8203125
3363.0,11167.509765625,94603.0,12760.73046875
3380.800048828125,11326.509765625,95479.0,12730.76953125
3348.419921875,11075.01953125,94016.0,12689.0400390625
3408.60009765625,11332.490234375,96089.0,12828.3095703125
3360.969970703125,11154.599609375,95615.0,12906.01953125
3419.43994140625,11364.599609375,95526.0,12928.5703125
3446.830078125,11420.98046875,97920.0,13042.2099609375
3477.139892578125,11579.9404296875,97483.0,13051.23046875
3534.219970703125,11876.259765625,,13138.41015625
3511.929931640625,11863.900390625,98503.0,13018.990234375
3488.669921875,11768.73046875,99334.0,13028.0595703125
3483.340087890625,11713.8701171875,99054.0,12703.75
3483.81005859375,11671.5595703125,98309.0,12908.990234375
3426.919921875,11478.8798828125,98658.0,12854.66015625
3443.1201171875,11516.490234375,100540.0,12736.9501953125
3435.56005859375,11484.6904296875,100552.0,12557.6396484375
3453.489990234375,11506.009765625,101918.0,12543.0595703125
3465.389892578125,11548.2802734375,101260.0,12645.75
3400.969970703125,11358.9404296875,101017.0,12177.1796875
3390.679931640625,11431.349609375,99606.0,12063.5703125
3271.030029296875,11004.8701171875,95369.0,11560.509765625
3310.110107421875,11185.58984375,96582.0,11598.0703125
3269.9599609375,10911.58984375,93952.0,11556.48046875
3310.239990234375,10957.6103515625,,11788.2802734375
3369.159912109375,11160.5703125,95587.0,12088.98046875
3443.43994140625,11590.7802734375,97811.0,12324.2197265625
3510.449951171875,11890.9296875,100774.0,12568.08984375
3509.43994140625,11895.23046875,100799.0,12480.01953125
3550.5,11713.7802734375,103913.0,13095.9697265625
3545.530029296875,11553.8603515625,105351.0,13163.1103515625
