btc,nano,bnb,waves,eos
13549.37,0.7101,27.7983,3.1145,2.433
14023.53,0.7306,26.8638,3.1477,2.3655
14144.01,0.7008,26.96,3.1986,2.3506
15590.02,0.7235,27.6875,3.4277,2.4464
15579.92,0.7818,29.0435,3.5691,2.5349
14818.3,0.7369,27.7651,3.4434,2.4971
15475.1,0.7844,28.4101,3.5186,2.5361
15328.41,0.745,28.0941,3.7976,2.4975
15297.21,0.7541,28.2188,3.8268,2.498
15684.24,0.7934,28.016,3.7467,2.4982
16291.86,0.7584,27.6874,3.891,2.4632
16320.7,0.783,28.1974,4.0975,2.5982
16070.45,0.7552,27.9311,4.2902,2.5359
15957.0,0.7374,27.6786,4.3653,2.4961
16713.57,0.7399,27.9451,4.9029,2.583
17659.38,0.7534,28.5552,4.9243,2.7162
17776.12,0.7341,28.0931,5.1728,2.6371
17802.82,0.736,28.1387,5.8456,2.6363
18655.67,0.7622,28.9715,6.7653,2.7798
18703.8,0.865,30.5161,6.2111,3.2306
18414.43,0.8528,30.0226,7.0696,3.0633
18368.0,1.1771,30.995,7.9207,3.3789
19160.01,1.3744,33.9407,7.5488,3.5987
18719.11,1.1917,31.2953,6.7033,3.4247
17149.47,1.0175,28.2356,6.0606,2.9522
17139.52,1.12,28.4606,6.4518,2.8734
17719.85,1.1739,29.1766,6.5973,2.9982
18184.99,1.175,30.1045,7.0331,3.0311
19695.87,1.1989,31.4935,7.0841,3.2615
18764.96,1.1631,30.1996,6.8201,2.9942
19204.09,1.1616,30.2875,7.0493,3.0565
19421.9,1.1714,30.7065,7.3857,3.0803
18650.52,1.0516,29.0231,7.227,2.8456
19147.66,1.1156,29.728,8.1289,3.0079
19359.4,1.0898,29.5026,8.4331,2.9969
19166.9,1.0574,29.37,8.9462,2.9491
18324.11,0.972,27.6705,7.7944,2.803
18541.28,1.0497,28.1452,8.5543,2.8085
18254.63,0.9909,27.6926,8.116,2.7401
18036.53,0.9271,27.3419,8.1207,2.6938
18808.69,1.0056,28.1603,8.4688,2.7672
19174.99,1.0883,29.1571,8.6419,2.8507
19273.14,1.0643,30.0338,8.6192,2.847
19426.43,1.0685,29.5053,8.1174,2.8615
21335.52,1.1659,30.5577,8.3437,3.102
22797.16,1.1509,30.2255,7.93,3.0416
23107.39,1.148,30.9882,7.8286,3.0594
23821.61,1.1324,33.3167,7.6656,3.0535
23455.52,1.0826,34.3148,7.1741,3.1361
22719.71,1.0392,32.05,6.6577,2.9288
23810.79,1.0797,33.5151,7.0959,2.898
23232.76,0.9684,31.1843,5.8732,2.3148
23729.2,1.0539,32.4895,6.4838,2.6682
24712.47,1.06,33.1996,6.6622,2.6661
26493.39,1.0278,33.6361,6.3428,2.6128
26281.66,1.1146,33.674,6.3995,2.7167
27079.41,1.0721,35.951,6.6245,2.7638
27385.0,1.0631,39.0667,7.0125,2.6391
28875.54,1.0621,38.1558,6.6235,2.6123
28923.63,1.0253,37.3588,6.1939,2.5911
29331.69,1.0336,37.7762,5.9795,2.6378
32178.33,1.0469,38.2331,5.5873,2.6321
33000.05,1.7129,41.2575,5.5581,2.7985
31988.71,1.49,41.1333,5.3943,2.8191
33949.53,1.5348,41.8219,5.5768,2.8862
36769.36,2.5504,42.2417,5.84,3.3711
39432.28,4.3386,43.5728,5.9377,3.1943
40582.81,4.0475,42.356,5.6108,3.1094
40088.22,3.54,43.8479,6.1818,3.6145
38150.02,3.2054,42.4031,6.5273,3.0552
